135,136,143,distance,heart_rate,timestamp
1,102,83,0.0,102,2025-07-08 09:23:14+00:00
1,103,83,0.0,103,2025-07-08 09:23:15+00:00
0,102,83,0.0,102,2025-07-08 09:23:19+00:00
0,103,83,0.0,103,2025-07-08 09:23:25+00:00
0,104,83,0.0,104,2025-07-08 09:23:30+00:00
0,103,83,0.0,103,2025-07-08 09:23:35+00:00
0,102,83,0.0,102,2025-07-08 09:23:36+00:00
0,103,83,0.0,103,2025-07-08 09:23:38+00:00
0,102,83,0.0,102,2025-07-08 09:23:42+00:00
0,103,83,0.0,103,2025-07-08 09:23:45+00:00
0,102,83,0.0,102,2025-07-08 09:23:46+00:00
1,103,83,0.0,103,2025-07-08 09:23:51+00:00
0,102,83,0.0,102,2025-07-08 09:23:55+00:00
0,103,83,0.0,103,2025-07-08 09:23:57+00:00
0,102,82,0.0,102,2025-07-08 09:24:01+00:00
0,103,82,0.0,103,2025-07-08 09:24:04+00:00
0,102,82,0.0,102,2025-07-08 09:24:05+00:00
1,103,82,0.0,103,2025-07-08 09:24:08+00:00
0,104,82,0.0,104,2025-07-08 09:24:11+00:00
0,105,82,0.0,105,2025-07-08 09:24:13+00:00
0,106,82,0.0,106,2025-07-08 09:24:15+00:00
0,107,82,0.0,107,2025-07-08 09:24:17+00:00
6,109,82,0.0,109,2025-07-08 09:24:20+00:00
1,108,82,0.0,108,2025-07-08 09:24:22+00:00
1,107,82,0.0,107,2025-07-08 09:24:24+00:00
5,103,82,0.0,103,2025-07-08 09:24:26+00:00
0,102,82,0.0,102,2025-07-08 09:24:27+00:00
1,101,82,0.0,101,2025-07-08 09:24:28+00:00
1,102,82,0.0,102,2025-07-08 09:24:34+00:00
1,101,82,0.0,101,2025-07-08 09:24:35+00:00
2,102,82,0.0,102,2025-07-08 09:24:38+00:00
2,103,82,0.0,103,2025-07-08 09:24:43+00:00
1,102,82,0.0,102,2025-07-08 09:24:44+00:00
1,103,82,0.0,103,2025-07-08 09:24:47+00:00
1,103,82,0.0,103,2025-07-08 09:24:49+00:00
1,102,82,0.0,102,2025-07-08 09:24:51+00:00
1,103,82,0.0,103,2025-07-08 09:24:52+00:00
3,102,82,0.0,102,2025-07-08 09:24:53+00:00
2,101,82,0.0,101,2025-07-08 09:24:55+00:00
19,100,82,0.0,100,2025-07-08 09:25:00+00:00
28,101,82,0.0,101,2025-07-08 09:25:05+00:00
43,99,82,0.0,99,2025-07-08 09:25:10+00:00
46,98,82,0.0,98,2025-07-08 09:25:11+00:00
39,95,82,0.0,95,2025-07-08 09:25:12+00:00
4,89,82,0.0,89,2025-07-08 09:25:13+00:00
4,89,82,0.0,89,2025-07-08 09:25:14+00:00
0,88,82,0.0,88,2025-07-08 09:25:19+00:00
