133,135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
,1,57,76,4.0,15.46,57,2025-02-17 12:50:41+00:00
,1,57,76,4.0,15.46,57,2025-02-17 12:50:42+00:00
95,1,58,76,4.0,15.31,58,2025-02-17 12:50:43+00:00
95,1,57,76,4.0,15.31,57,2025-02-17 12:50:44+00:00
95,1,57,76,5.0,15.31,57,2025-02-17 12:50:45+00:00
95,1,57,76,5.0,15.31,57,2025-02-17 12:50:46+00:00
95,1,58,76,5.0,15.3,58,2025-02-17 12:50:47+00:00
95,1,58,76,5.0,15.3,58,2025-02-17 12:50:48+00:00
95,1,58,76,5.0,15.3,58,2025-02-17 12:50:49+00:00
95,1,58,76,6.0,15.3,58,2025-02-17 12:50:50+00:00
95,1,59,76,6.0,15.54,59,2025-02-17 12:50:51+00:00
95,1,58,76,6.0,15.54,58,2025-02-17 12:50:52+00:00
95,1,58,76,6.0,15.87,58,2025-02-17 12:50:53+00:00
95,1,57,76,6.0,15.87,57,2025-02-17 12:50:54+00:00
95,1,57,76,7.0,15.87,57,2025-02-17 12:50:55+00:00
95,1,58,76,7.0,15.97,58,2025-02-17 12:50:56+00:00
95,1,59,76,7.0,15.97,59,2025-02-17 12:50:57+00:00
95,1,60,76,7.0,15.97,60,2025-02-17 12:50:58+00:00
95,1,60,76,7.0,15.97,60,2025-02-17 12:50:59+00:00
95,1,60,76,7.0,15.97,60,2025-02-17 12:51:00+00:00
95,1,60,76,7.0,15.88,60,2025-02-17 12:51:01+00:00
95,2,59,76,7.0,15.88,59,2025-02-17 12:51:02+00:00
95,2,59,76,7.0,15.88,59,2025-02-17 12:51:03+00:00
95,2,59,76,7.0,15.88,59,2025-02-17 12:51:04+00:00
95,0,56,76,7.0,15.67,56,2025-02-17 12:51:05+00:00
95,0,55,76,7.0,15.67,55,2025-02-17 12:51:06+00:00
95,0,55,76,7.0,15.67,55,2025-02-17 12:51:07+00:00
95,0,55,76,7.0,15.67,55,2025-02-17 12:51:08+00:00
95,0,56,76,7.0,15.51,56,2025-02-17 12:51:09+00:00
95,0,56,76,7.0,15.51,56,2025-02-17 12:51:10+00:00
95,0,56,76,7.0,15.51,56,2025-02-17 12:51:11+00:00
95,0,56,76,7.0,15.51,56,2025-02-17 12:51:12+00:00
95,1,55,76,7.0,15.64,55,2025-02-17 12:51:13+00:00
95,1,56,76,7.0,15.64,56,2025-02-17 12:51:14+00:00
95,1,56,76,6.0,15.64,56,2025-02-17 12:51:15+00:00
95,1,56,76,6.0,15.64,56,2025-02-17 12:51:16+00:00
95,1,55,76,6.0,15.64,55,2025-02-17 12:51:17+00:00
95,1,56,76,6.0,15.28,56,2025-02-17 12:51:18+00:00
95,1,56,76,6.0,15.28,56,2025-02-17 12:51:19+00:00
95,1,56,76,6.0,15.28,56,2025-02-17 12:51:20+00:00
95,1,55,76,6.0,15.28,55,2025-02-17 12:51:21+00:00
95,1,56,76,6.0,15.28,56,2025-02-17 12:51:22+00:00
95,1,56,76,6.0,14.97,56,2025-02-17 12:51:23+00:00
95,1,56,76,6.0,14.97,56,2025-02-17 12:51:24+00:00
95,1,55,76,6.0,14.97,55,2025-02-17 12:51:25+00:00
95,1,56,76,6.0,14.97,56,2025-02-17 12:51:26+00:00
95,1,56,76,6.0,14.97,56,2025-02-17 12:51:27+00:00
94,1,56,76,6.0,14.92,56,2025-02-17 12:51:28+00:00
94,1,55,76,6.0,14.92,55,2025-02-17 12:51:29+00:00
96,1,56,76,6.0,14.92,56,2025-02-17 12:51:30+00:00
96,1,56,76,6.0,15.01,56,2025-02-17 12:51:31+00:00
97,1,56,76,6.0,15.01,56,2025-02-17 12:51:32+00:00
97,1,57,76,6.0,15.01,57,2025-02-17 12:51:33+00:00
97,1,57,76,6.0,15.01,57,2025-02-17 12:51:34+00:00
97,1,57,76,7.0,15.19,57,2025-02-17 12:51:35+00:00
97,1,57,76,7.0,15.19,57,2025-02-17 12:51:36+00:00
97,1,57,76,7.0,15.19,57,2025-02-17 12:51:37+00:00
97,1,58,76,7.0,15.25,58,2025-02-17 12:51:38+00:00
97,1,57,76,7.0,15.25,57,2025-02-17 12:51:39+00:00
97,1,57,76,7.0,15.25,57,2025-02-17 12:51:40+00:00
97,1,57,76,7.0,15.25,57,2025-02-17 12:51:41+00:00
97,1,57,76,7.0,15.41,57,2025-02-17 12:51:42+00:00
97,1,57,76,7.0,15.41,57,2025-02-17 12:51:43+00:00
97,1,57,76,7.0,15.41,57,2025-02-17 12:51:44+00:00
97,1,57,76,7.0,15.73,57,2025-02-17 12:51:45+00:00
97,0,58,76,7.0,15.73,58,2025-02-17 12:51:46+00:00
97,0,59,76,7.0,15.73,59,2025-02-17 12:51:47+00:00
97,0,59,76,7.0,15.92,59,2025-02-17 12:51:48+00:00
97,0,59,76,7.0,15.92,59,2025-02-17 12:51:49+00:00
97,0,59,76,7.0,15.92,59,2025-02-17 12:51:50+00:00
97,0,59,76,7.0,16.06,59,2025-02-17 12:51:51+00:00
