14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
8,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",49.574,14,12,active,2025-10-02 13:27:21+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,5
,,,,41.046,15,,rest,2025-10-02 13:28:11+00:00,2025-10-02 13:07:16+00:00,,,6
9,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",76.493,16,12,active,2025-10-02 13:28:52+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,8
,,,,45.436,17,,rest,2025-10-02 13:30:08+00:00,2025-10-02 13:07:16+00:00,,,9
10,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",60.942,18,12,active,2025-10-02 13:30:54+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,8
,,,,50.333,19,,rest,2025-10-02 13:31:55+00:00,2025-10-02 13:07:16+00:00,,,9
11,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",52.324,20,12,active,2025-10-02 13:32:45+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,8
,,,,105.234,21,,rest,2025-10-02 13:33:38+00:00,2025-10-02 13:07:16+00:00,,,9
12,"[255, 255]","['row', 'row']","[13, 13]",70.299,22,12,active,2025-10-02 13:35:23+00:00,2025-10-02 13:07:16+00:00,5.0,kilogram,11
,,,,40.479,23,,rest,2025-10-02 13:36:33+00:00,2025-10-02 13:07:16+00:00,,,12
13,"[255, 255]","['row', 'row']","[13, 13]",65.165,24,12,active,2025-10-02 13:37:14+00:00,2025-10-02 13:07:16+00:00,5.0,kilogram,11
,,,,40.338,25,,rest,2025-10-02 13:38:19+00:00,2025-10-02 13:07:16+00:00,,,12
14,"[255, 255]","['row', 'row']","[13, 13]",70.148,26,12,active,2025-10-02 13:38:59+00:00,2025-10-02 13:07:16+00:00,5.0,kilogram,11
,,,,120.401,27,,rest,2025-10-02 13:40:09+00:00,2025-10-02 13:07:16+00:00,,,12
15,"[255, 255]","['curl', 'curl']","[8, 8]",39.77,28,12,active,2025-10-02 13:42:10+00:00,2025-10-02 13:07:16+00:00,10.0,kilogram,14
,,,,40.437,29,,rest,2025-10-02 13:42:49+00:00,2025-10-02 13:07:16+00:00,,,15
16,"[255, 255]","['curl', 'curl']","[8, 8]",42.304,30,12,active,2025-10-02 13:43:30+00:00,2025-10-02 13:07:16+00:00,15.0,kilogram,14
,,,,45.465,31,,rest,2025-10-02 13:44:12+00:00,2025-10-02 13:07:16+00:00,,,15
17,"[255, 255]","['curl', 'curl']","[8, 8]",46.166,32,12,active,2025-10-02 13:44:58+00:00,2025-10-02 13:07:16+00:00,15.0,kilogram,14
,,,,122.191,33,,rest,2025-10-02 13:45:44+00:00,2025-10-02 13:07:16+00:00,,,15
18,"[255, 255]","['curl', 'curl']","[37, 37]",41.724,34,12,active,2025-10-02 13:47:46+00:00,2025-10-02 13:07:16+00:00,3.0,kilogram,17
,,,,45.428,35,,rest,2025-10-02 13:48:28+00:00,2025-10-02 13:07:16+00:00,,,18
19,"[255, 255]","['curl', 'curl']","[37, 37]",40.823,36,12,active,2025-10-02 13:49:13+00:00,2025-10-02 13:07:16+00:00,3.0,kilogram,17
,,,,45.503,37,,rest,2025-10-02 13:49:54+00:00,2025-10-02 13:07:16+00:00,,,18
20,"[255, 255]","['curl', 'curl']","[37, 37]",40.024,38,12,active,2025-10-02 13:50:39+00:00,2025-10-02 13:07:16+00:00,3.0,kilogram,17
,,,,74.932,39,,rest,2025-10-02 13:51:19+00:00,2025-10-02 13:07:16+00:00,,,18
21,"[255, 255]","['indoor_bike', 'indoor_bike']",,900.0,40,,active,2025-10-02 13:52:34+00:00,2025-10-02 13:07:16+00:00,0.0,kilogram,20
22,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,41,,active,2025-10-02 14:07:34+00:00,2025-10-02 13:07:16+00:00,0.0,kilogram,21
,,,,35.857,42,,rest,2025-10-02 14:10:34+00:00,2025-10-02 13:07:16+00:00,,,
