135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
1,65,78,21.0,12.0,65,2025-06-10 09:05:12+00:00
1,63,78,21.0,12.0,63,2025-06-10 09:05:13+00:00
1,60,78,21.0,12.0,60,2025-06-10 09:05:14+00:00
1,58,78,22.0,12.0,58,2025-06-10 09:05:15+00:00
1,56,78,22.0,12.0,56,2025-06-10 09:05:16+00:00
1,55,78,22.0,12.0,55,2025-06-10 09:05:17+00:00
1,55,78,22.0,12.0,55,2025-06-10 09:05:18+00:00
1,55,78,22.0,12.0,55,2025-06-10 09:05:19+00:00
1,55,78,24.0,12.0,55,2025-06-10 09:05:20+00:00
1,55,78,24.0,12.0,55,2025-06-10 09:05:21+00:00
1,56,78,24.0,12.0,56,2025-06-10 09:05:22+00:00
1,56,78,24.0,11.0,56,2025-06-10 09:05:23+00:00
1,56,78,24.0,11.0,56,2025-06-10 09:05:24+00:00
1,56,78,23.0,11.0,56,2025-06-10 09:05:25+00:00
1,57,78,23.0,11.0,57,2025-06-10 09:05:26+00:00
1,57,78,23.0,11.0,57,2025-06-10 09:05:27+00:00
1,58,78,23.0,12.0,58,2025-06-10 09:05:28+00:00
1,60,78,23.0,12.0,60,2025-06-10 09:05:29+00:00
0,61,78,22.0,12.0,61,2025-06-10 09:05:30+00:00
0,62,78,22.0,12.0,62,2025-06-10 09:05:31+00:00
0,62,78,22.0,12.0,62,2025-06-10 09:05:32+00:00
0,62,78,22.0,12.0,62,2025-06-10 09:05:33+00:00
0,62,78,22.0,12.0,62,2025-06-10 09:05:34+00:00
0,62,78,23.0,12.0,62,2025-06-10 09:05:35+00:00
0,61,78,23.0,12.0,61,2025-06-10 09:05:36+00:00
0,60,78,23.0,12.0,60,2025-06-10 09:05:37+00:00
0,60,78,23.0,12.0,60,2025-06-10 09:05:38+00:00
0,60,78,23.0,12.0,60,2025-06-10 09:05:39+00:00
0,60,78,22.0,12.0,60,2025-06-10 09:05:40+00:00
0,60,78,22.0,12.0,60,2025-06-10 09:05:41+00:00
0,60,78,22.0,12.0,60,2025-06-10 09:05:42+00:00
0,59,78,22.0,12.0,59,2025-06-10 09:05:43+00:00
0,58,78,22.0,12.0,58,2025-06-10 09:05:44+00:00
0,58,78,21.0,12.0,58,2025-06-10 09:05:45+00:00
0,57,78,21.0,12.0,57,2025-06-10 09:05:46+00:00
0,57,78,21.0,12.0,57,2025-06-10 09:05:47+00:00
0,57,78,21.0,12.0,57,2025-06-10 09:05:48+00:00
0,57,78,21.0,13.0,57,2025-06-10 09:05:49+00:00
0,57,78,20.0,13.0,57,2025-06-10 09:05:50+00:00
1,58,78,20.0,13.0,58,2025-06-10 09:05:51+00:00
1,57,78,20.0,14.0,57,2025-06-10 09:05:52+00:00
1,57,78,20.0,14.0,57,2025-06-10 09:05:53+00:00
1,57,78,20.0,14.0,57,2025-06-10 09:05:54+00:00
1,58,78,20.0,14.0,58,2025-06-10 09:05:55+00:00
1,58,78,20.0,14.0,58,2025-06-10 09:05:56+00:00
1,58,78,20.0,15.0,58,2025-06-10 09:05:57+00:00
1,58,78,20.0,15.0,58,2025-06-10 09:05:58+00:00
1,57,78,20.0,16.0,57,2025-06-10 09:05:59+00:00
1,57,78,20.0,16.0,57,2025-06-10 09:06:00+00:00
1,57,78,20.0,16.0,57,2025-06-10 09:06:01+00:00
1,57,78,20.0,16.0,57,2025-06-10 09:06:02+00:00
1,57,78,20.0,16.0,57,2025-06-10 09:06:03+00:00
1,57,78,20.0,17.0,57,2025-06-10 09:06:04+00:00
1,56,78,18.0,17.0,56,2025-06-10 09:06:05+00:00
1,56,78,18.0,17.0,56,2025-06-10 09:06:06+00:00
1,56,78,18.0,17.0,56,2025-06-10 09:06:07+00:00
1,56,78,18.0,17.0,56,2025-06-10 09:06:08+00:00
1,56,78,18.0,17.0,56,2025-06-10 09:06:09+00:00
1,55,78,18.0,17.0,55,2025-06-10 09:06:10+00:00
2,56,78,18.0,17.0,56,2025-06-10 09:06:11+00:00
2,56,78,18.0,17.0,56,2025-06-10 09:06:12+00:00
1,55,78,18.0,17.0,55,2025-06-10 09:06:13+00:00
1,55,78,18.0,17.0,55,2025-06-10 09:06:14+00:00
1,54,78,18.0,17.0,54,2025-06-10 09:06:15+00:00
1,54,78,18.0,17.0,54,2025-06-10 09:06:16+00:00
1,55,78,18.0,17.0,55,2025-06-10 09:06:17+00:00
1,55,78,18.0,18.0,55,2025-06-10 09:06:18+00:00
1,56,78,18.0,18.0,56,2025-06-10 09:06:19+00:00
1,56,78,18.0,18.0,56,2025-06-10 09:06:20+00:00
1,56,78,18.0,18.0,56,2025-06-10 09:06:21+00:00
1,55,78,18.0,18.0,55,2025-06-10 09:06:22+00:00
1,56,78,18.0,18.0,56,2025-06-10 09:06:23+00:00
0,55,78,18.0,18.0,55,2025-06-10 09:06:24+00:00
0,55,78,18.0,18.0,55,2025-06-10 09:06:25+00:00
0,56,78,18.0,18.0,56,2025-06-10 09:06:26+00:00
0,57,78,18.0,18.0,57,2025-06-10 09:06:27+00:00
0,57,78,18.0,18.0,57,2025-06-10 09:06:28+00:00
0,57,78,18.0,18.0,57,2025-06-10 09:06:29+00:00
0,57,78,18.0,18.0,57,2025-06-10 09:06:30+00:00
0,58,78,18.0,18.0,58,2025-06-10 09:06:31+00:00
1,57,78,18.0,18.0,57,2025-06-10 09:06:32+00:00
1,57,78,18.0,19.0,57,2025-06-10 09:06:33+00:00
1,57,78,18.0,19.0,57,2025-06-10 09:06:34+00:00
1,57,78,18.0,19.0,57,2025-06-10 09:06:35+00:00
1,58,78,18.0,19.0,58,2025-06-10 09:06:36+00:00
1,58,78,18.0,19.0,58,2025-06-10 09:06:37+00:00
1,59,78,18.0,19.0,59,2025-06-10 09:06:38+00:00
1,60,78,18.0,19.0,60,2025-06-10 09:06:39+00:00
0,63,78,19.0,19.0,63,2025-06-10 09:06:40+00:00
0,65,78,19.0,19.0,65,2025-06-10 09:06:41+00:00
0,66,78,19.0,19.0,66,2025-06-10 09:06:42+00:00
