107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
1,1,113,57,3616.07,88.79999999999995,4.927,113,543640729,222744502,2025-06-19 14:06:07+00:00
1,1,113,57,3666.08,88.20000000000005,4.899,113,543642744,222737399,2025-06-19 14:06:17+00:00
1,1,112,57,3691.96,89.60000000000002,3.742,112,543644128,222733972,2025-06-19 14:06:23+00:00
1,0,116,57,3709.55,89.79999999999995,3.443,116,543645142,222731716,2025-06-19 14:06:28+00:00
1,0,118,57,3713.2,89.39999999999998,3.49,118,543645159,222731164,2025-06-19 14:06:29+00:00
1,0,123,57,3723.95,89.79999999999995,3.602,123,543645333,222729558,2025-06-19 14:06:32+00:00
1,0,124,57,3735.25,89.20000000000005,3.76,124,543645711,222727928,2025-06-19 14:06:35+00:00
1,0,121,57,3750.4,89.20000000000005,3.462,121,543646236,222725714,2025-06-19 14:06:39+00:00
1,0,118,57,3757.72,89.60000000000002,3.378,118,543646474,222724689,2025-06-19 14:06:41+00:00
1,0,117,57,3766.34,89.60000000000002,3.051,117,543646764,222723412,2025-06-19 14:06:44+00:00
1,0,114,57,3774.63,89.79999999999995,2.566,114,543647057,222722181,2025-06-19 14:06:47+00:00
1,0,110,57,3782.32,90.39999999999998,2.155,110,543647375,222721109,2025-06-19 14:06:50+00:00
1,0,109,57,3784.97,90.60000000000002,2.221,109,543647450,222720747,2025-06-19 14:06:51+00:00
1,1,106,57,3794.33,90.79999999999995,2.594,106,543647860,222719413,2025-06-19 14:06:55+00:00
1,1,104,57,3805.53,91.20000000000005,2.846,104,543648386,222717913,2025-06-19 14:06:59+00:00
1,1,101,57,3811.02,91.39999999999998,3.126,101,543648652,222717093,2025-06-19 14:07:01+00:00
1,1,98,57,3826.24,92.20000000000005,1.987,98,543649241,222714974,2025-06-19 14:07:07+00:00
1,1,95,57,3844.16,91.39999999999998,2.725,95,543649811,222712266,2025-06-19 14:07:14+00:00
1,11,93,57,3866.95,89.0,2.762,93,543650609,222709072,2025-06-19 14:07:22+00:00
1,6,88,57,3872.54,89.20000000000005,2.65,88,543650784,222708259,2025-06-19 14:07:24+00:00
1,3,85,57,3877.51,89.39999999999998,2.538,85,543650939,222707518,2025-06-19 14:07:26+00:00
1,1,84,57,3888.98,89.39999999999998,1.866,84,543651302,222705814,2025-06-19 14:07:31+00:00
1,1,84,57,3893.89,89.0,1.269,84,543651695,222705214,2025-06-19 14:07:34+00:00
