107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
1,5,103,91,1662.04,97.0,5.235,103,543554666,222889625,2025-07-14 04:43:52+00:00
1,6,106,91,1684.14,96.60000000000002,5.393,106,543552284,222889910,2025-07-14 04:43:56+00:00
1,6,107,91,1689.95,96.39999999999998,5.598,107,543551666,222890007,2025-07-14 04:43:57+00:00
1,8,109,91,1718.9,96.20000000000005,4.329,109,543548580,222890482,2025-07-14 04:44:03+00:00
1,1,106,91,1737.85,95.20000000000005,4.964,106,543546526,222890992,2025-07-14 04:44:07+00:00
1,1,107,91,1753.43,95.39999999999998,4.983,107,543544843,222891208,2025-07-14 04:44:10+00:00
1,1,107,91,1768.1,96.0,4.628,107,543543318,222891671,2025-07-14 04:44:13+00:00
1,5,108,91,1777.33,97.39999999999998,5.123,108,543542726,222892832,2025-07-14 04:44:15+00:00
1,4,112,91,1787.72,96.60000000000002,5.263,112,543542727,222894425,2025-07-14 04:44:17+00:00
1,3,114,91,1793.12,96.0,5.477,114,543542783,222895266,2025-07-14 04:44:18+00:00
1,1,116,91,1841.43,97.39999999999998,5.906,116,543543261,222902583,2025-07-14 04:44:26+00:00
1,1,115,91,1875.98,97.20000000000005,5.43,115,543543559,222907887,2025-07-14 04:44:32+00:00
1,3,112,91,1896.39,98.79999999999995,4.693,112,543543693,222910906,2025-07-14 04:44:36+00:00
1,1,111,91,1906.46,99.20000000000005,5.029,111,543543694,222912451,2025-07-14 04:44:38+00:00
1,1,110,91,1911.59,98.39999999999998,5.029,110,543543737,222913217,2025-07-14 04:44:39+00:00
1,1,109,91,1921.43,97.60000000000002,5.318,109,543544010,222914709,2025-07-14 04:44:41+00:00
1,1,110,91,1931.63,95.0,5.654,110,543544449,222916182,2025-07-14 04:44:43+00:00
1,1,112,91,1958.11,93.39999999999998,5.179,112,543545615,222919911,2025-07-14 04:44:48+00:00
1,1,112,91,1963.52,93.20000000000005,5.225,112,543545487,222920728,2025-07-14 04:44:49+00:00
1,1,112,91,1969.05,93.0,5.216,112,543545311,222921523,2025-07-14 04:44:50+00:00
1,0,111,91,1988.92,92.39999999999998,4.255,111,543545114,222924441,2025-07-14 04:44:54+00:00
1,1,111,91,2010.49,93.0,3.956,111,543545552,222927824,2025-07-14 04:44:59+00:00
1,1,111,91,2018.75,95.60000000000002,3.984,111,543544623,222928406,2025-07-14 04:45:02+00:00
1,1,112,91,2039.07,99.39999999999998,4.022,112,543542508,222929047,2025-07-14 04:45:07+00:00
